This is the collection of Ford vehicles on mercadolibre website
Vehicle	Year	Type	Engine	Transmission	Fuel Type	Door	Link
Ford F-350 7.3 Standard Lariat - $ 135,000.00	1996				Diesel	4	https://auto.mercadolibre.com.mx/MLM-636634924-ford-f-350-73-standard-lariat-_JM
Ford Mustang 4.6 Gt Base At 1996 - $ 75,000.00	1996	Coupé	4.6	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-632084489-ford-mustang-46-gt-base-at-1996-_JM
Ford F-150 4.2 Xl V6 Mt 1996 - $ 43,500.00	1996	Pick-Up	4.2	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-633801511-ford-f-150-42-xl-v6-mt-1996-_JM
Ford Mustang Clasico 1966 Automatico, Flamante - $ 365,000.00	1996	Coupé	4.7 Lts. 289	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-630828298-ford-mustang-clasico-1966-automatico-flamante-_JM
Ford Vanettes 1991 Y 1996 - $ 70,000.00							https://auto.mercadolibre.com.mx/MLM-629929937-ford-vanettes-1991-y-1996-_JM
Ford Bronco - $ 125,000.00	1996	Todo terreno	V8	Automática	Gasolina	3	https://auto.mercadolibre.com.mx/MLM-636228860-ford-bronco-_JM
Ford F-250 Mod 93 - $ 45,000.00	1996				Gasolina	3	https://auto.mercadolibre.com.mx/MLM-636674848-ford-f-250-mod-93-_JM
Camioneta Ford Expedition 1996 Aceptó Cambió - $ 55,000.00	1996				Gasolina	5	https://auto.mercadolibre.com.mx/MLM-628603312-camioneta-ford-expedition-1996-acepto-cambio-_JM
Ford Sable Ls Aut 1996 - $ 29,500.00	1996	Sedán		Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636240929-ford-sable-ls-aut-1996-_JM
Ford Mustang 96 6 Cil. - $ 38,000.00	1996		3.8	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634759608-ford-mustang-96-6-cil-_JM
Ford Grand Marquis Ls Digital At - $ 45,000.00	1996	Sedán	4.6	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636610237-ford-grand-marquis-ls-digital-at-_JM
Ford F-150 - $ 85,000.00	1996	Pick-Up	8 CIL	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634601947-ford-f-150-_JM
Vendo Hemosa Ford Custom 1976 - $ 100,000.00	1996	Pick-Up	6 EN LINEA	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634076023-vendo-hemosa-ford-custom-1976-_JM
Ford Explorer 4.6 Xlt V8 3er. Seat 4x2 Mt - $ 280,000.00	1996	SUV	4.6	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635326904-ford-explorer-46-xlt-v8-3er-seat-4x2-mt-_JM
Ford Explorer 1996 - $ 39,000.00	1996	Vagoneta	V6	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635168324-ford-explorer-1996-_JM
Ford Ranger Pickup Xl L4 Largo Mt 1996 - $ 90,000.00	1996	Pick-Up	4.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636508061-ford-ranger-pickup-xl-l4-largo-mt-1996-_JM
