This is the collection of BMW vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
BMW Serie 3 1996	4		Automatica	Gasolina	
BMW Serie 7 1996	12		Automatica	Gasolina	
1996 BMW Series 3 325I LUJO	6	2.5	automático	gasolina	4
1997 BMW Series 3 328 TOP LINE	6	2.8	automático	gasolina	4
1997 BMW Z3 Z3	4	1.9	manual	gasolina	2
1997 BMW Z3 Z3 LUX PK A	4	1.9	automático	gasolina	2
1998 BMW Z3 2.8L AT	6	2.8	automático	gasolina	2
1998 BMW Series 3 328I COUPE	6	2.8	manual	gasolina	2
1998 BMW Series 3 323IA	6	2.5	automático	gasolina	4
1998 BMW Series 3 328I COUPE	6	2.8	manual	gasolina	2
1998 BMW Z3 2.8L MT	6	2.8	manual	gasolina	2
1998 BMW Series 8 850CIA	12	5.4	automático	gasolina	2
1998 BMW Series 3 323IA	6	2.5	automático	gasolina	4
1998 BMW Series 5 528IA LUJO	6	2.8	automático	gasolina	4
1998 BMW Series 5 540IA LUJO	8	4.4	automático	gasolina	4
2018 Ford Lobo Platinum Crew Cab	6	3.5	automático	gasolina premium	4
2018 Ford Lobo Platinum Crew Cab	6	3.5	automático	gasolina premium	4
2018 Ford Figo IMPULSE TA A/A 4 PTAS	4	1.5	automático	gasolina	4
2018 Ford Lobo XLT Reg Cab 4x2	8	5.0	automático	gasolina	2
1999 BMW Z3 M ROADSTER	6	3.2	manual	gasolina	2
1999 BMW Series 3 323IA	6	2.5	automático	gasolina	4
1999 BMW Series 3 323IA	6	2.5	automático	gasolina	4
1999 BMW Series 3 323IA	6	2.5	automático	gasolina	4
1999 BMW Series 3 328I COUPE	6	2.8	manual	gasolina	2
1999 BMW Series 3 323IA	6	2.5	automático	gasolina	4
1999 BMW Z3 M COUPE	6	3.2	manual	gasolina	3
2000 BMW Series 3 323IA	6	2.5	automático	gasolina	4
2000 BMW Series 5 (OLD) 528IA TOP LINE	6	2.8	automático	gasolina	4
2000 BMW Series 3 328CIA	6	2.8	automático	gasolina	2
2000 BMW Series 3 (OLD) 328IA	6	2.8	automático	gasolina	4
2000 BMW Series 5 (OLD) 528IA LUJO	6	2.8	automático	gasolina	4
