This is the collection of ChinaGroup vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
JAGUAR XJ6 1996	6		Automatica	Gasolina	
1996 Mercedes-Benz Clase SL SL 320	6	3.2	automático	gasolina	2
1996 Mercedes-Benz Clase S S 420	8	4.2	automático	gasolina	4
HONDA Civic 1996	4		Manual	Gasolina	
1996 Honda Accord EX-R PIEL	4	2.2	automático	gasolina	4
MERCEDES-BENZ 500 SEL 1997	8		Automatica	Gasolina	
1997 Mercedes-Benz Clase C 280 T ELEGANCE	6	2.8	automático	gasolina	5
1997 Mercedes-Benz Clase C C 230 CLASSIC	4	2.2	manual	gasolina	4
1997 Honda Accord EX	4	2.2	automático	gasolina	4
1997 Mercedes-Benz Clase E E 420 AVANTGARDE	8	4.2	automático	gasolina	4
1997 Mercedes-Benz Clase E E 320 ELEGANCE	6	3.2	automático	gasolina	4
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Lincoln Navigator NAVIGATOR	8	5.4	automático	gasolina	5
1998 Honda Accord EX V6	6	3	automático	gasolina	4
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
2007 GMC Yukon B Piel	8	5.3	automático	gasolina premium	5
GMC Envoy 2002	6		Automatica	Gasolina	
2014 Chevrolet Sonic TM D	4	1.6	manual	gasolina	4
2007 Chevrolet Avalanche A 4X2 TELA	8	5.3	automático	gasolina premium	4
1998 Honda Civic EX-R	4	1.6	manual	gasolina	4
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Mercedes-Benz Clase SLK SLK 230 KOMPRESSOR	4	2.3	manual	gasolina	2
1998 Mercedes-Benz Clase E E 430 AVANTGARDE	8	4.3	automático	gasolina	4
1998 Mercedes-Benz Clase E E 320 ELEGANCE	6	3.2	automático	gasolina	4
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Mercedes-Benz Clase E E 320 ELEGANCE	6	3.2	automático	gasolina	4
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Honda Civic EX-R	4	1.6	manual	gasolina	4
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Mercedes-Benz Clase CLK CLK 320	6	3.2	automático	gasolina	2
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1998 Honda Civic EX-R	4	1.6	manual	gasolina	4
1998 Mercedes-Benz Clase CLK CLK 320	6	3.2	automático	gasolina	2
1998 Mercedes-Benz Clase E E 430 AVANTGARDE	8	4.3	automático	gasolina	4
1998 Jaguar XJ Series XJ8	8	4	automático	gasolina	4
1999 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1999 Mercedes-Benz Clase CLK CLK 320	6	3.2	automático	gasolina	2
HONDA Passport 1999	6		Automatica	Gasolina	
1999 Mercedes-Benz Clase C C 230 KOMPRESSOR CLASSIC	4	2.3	automático	gasolina	4
1999 Honda Civic EX-R	4	1.6	manual	gasolina	4
1999 Honda Accord EX V6	6	3	automático	gasolina	4
1999 Mercedes-Benz Clase M ML 430	8	4.3	automático	gasolina	5
1999 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
1999 Honda Accord COUPE	6	3	automático	gasolina	2
1999 Honda Accord EX	4	2.3	automático	gasolina	4
2000 Honda Civic EX-R	4	1.6	manual	gasolina	4
2000 Land Rover Freelander 1.8 K	4	1.8	manual	gasolina	5
2000 Mercedes-Benz Clase M ML 430	8	4.3	automático	gasolina	5
2000 Honda Odyssey EX	6	3.5	automático	gasolina	5
2000 Jaguar S-Type V8	8	4	automático	gasolina	4
2000 Honda Accord COUPE	6	3	automático	gasolina	2
2000 Honda Odyssey EX	6	3.5	automático	gasolina	5
2000 Honda Civic EX-R 2DR AT	4	1.6	automático	gasolina	2
2000 Mercedes-Benz Clase SLK SLK 230 KOMPRESSOR AT	4	2.3	automático	gasolina	2
2000 Honda Odyssey EX	6	3.5	automático	gasolina	5
2000 Honda Accord COUPE	6	3	automático	gasolina	2
2000 Honda Odyssey EX	6	3.5	automático	gasolina	5
2000 Honda Civic EX-R	4	1.6	manual	gasolina	4
2000 Honda Accord EX V6	6	3	automático	gasolina	4
2000 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
2000 Honda Civic EX-R	4	1.6	manual	gasolina	4
2000 Honda Accord COUPE	6	3	automático	gasolina	2
2000 Mercedes-Benz Clase E E 320 ELEGANCE	6	3.2	automático	gasolina	4
2000 Land Rover Range Rover HSE	8	4.6	automático	gasolina	5
2000 Land Rover Range Rover HSE	8	4.6	automático	gasolina	5
2000 Lincoln Navigator 	8	5.4	automático	gasolina	5
2000 Honda Accord COUPE	6	3	automático	gasolina	2
2000 Honda Accord COUPE	6	3	automático	gasolina	2
2000 Mercedes-Benz Clase M ML 430	8	4.3	automático	gasolina	5
2000 Honda Civic (O) EX-R 2DR AT	4	1.6	automático	gasolina	2
2000 Honda Accord COUPE	6	3	automático	gasolina	2
2000 Honda Civic EX-R	4	1.6	manual	gasolina	4
2000 Honda Odyssey EX	6	3.5	automático	gasolina	5
2000 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
2001 Mercedes-Benz Clase S S 500L	8	5	automático	gasolina	4
2001 HONDA CIVIC (OLD)LX AT	4	1.7	automático	gasolina	4
2001 Lincoln Town Car CARTIER	8	4.6	automático	gasolina	4
2001 HONDA ODYSSEY EX	6	3.5	automático	gasolina	5
2001 HONDA ACCORD EX V6	6	3	automático	gasolina	4
2001 HONDA ACCORD EX-R V6 COUPE	6	3	automático	gasolina	2
2001 Mercedes-Benz Clase C C 240 ELEGANCE	6	2.6	automático	gasolina	4
2001 Mercedes-Benz Clase S S 500L	8	5	automático	gasolina	4
2001 HONDA CIVIC EX 2DR AT	4	1.7	automático	gasolina	2
2001 Land Rover Freelander 	4	1.8	manual	gasolina	5
2001 Honda Accord EX	4	2.3	automático	gasolina	4
2001 Honda Accord EX	4	2.3	automático	gasolina	4
2001 HONDA CIVIC EX 2DR AT	4	1.7	automático	gasolina	2
2001 Honda Accord EX	4	2.3	automático	gasolina	4
2001 Mercedes-Benz Clase M ML 430	8	4.3	automático	gasolina	5
2001 Honda Accord EX	4	2.3	automático	gasolina	4
2001 Honda Accord EX	4	2.3	automático	gasolina	4
2001 Honda Accord EX	4	2.3	automático	gasolina	4
2001 Mercedes-Benz Clase E E 430 AVANTGARDE	8	4.3	automático	gasolina	4
2001 Land Rover Freelander 	4	1.8	manual	gasolina	5
2001 Mercedes-Benz Clase C C 240 ELEGANCE	6	2.6	automático	gasolina	4
2001 Honda Accord EX	4	2.3	automático	gasolina	4
2001 Mercedes-Benz Clase M ML 430	8	4.3	automático	gasolina	5
2001 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
2001 Mercedes-Benz Klasse-A A 160 CLASSIC	4	1.6	manual	gasolina	5
2001 Mercedes-Benz Clase C C 240 ELEGANCE	6	2.6	automático	gasolina	4
2001 HONDA CIVIC EX 2DR AT	4	1.7	automático	gasolina	2
2001 Lincoln Town Car CARTIER	8	4.6	automático	gasolina	4
2001 Honda Accord EX	4	2.3	automático	gasolina	4
2001 Mercedes-Benz Clase C C 240 ELEGANCE	6	2.6	automático	gasolina	4
2001 HONDA CIVIC (OLD)EX 2DR AT	4	1.7	automático	gasolina	2
2001 Jaguar S-Type V6 3.0L	6	3	automático	gasolina	4
2001 Mercedes-Benz Klasse-A A 160 CLASSIC	4	1.6	manual	gasolina	5
2001 HONDA CIVIC EX 2DR AT	4	1.7	automático	gasolina	2
2002 Land Rover Freelander Piel quemacocos	6	2.5	automático	gasolina	5
2002 HONDA ACCORD EX	4	2.3	automático	gasolina	4
2002 Lincoln Navigator 4x2	8	5.4	automático	gasolina	5
2002 Mercedes-Benz Clase C C 200 KOMPRESSOR CLASSIC	4	2	automático	gasolina	4
2002 Land Rover Freelander Tela	6	2.5	automático	gasolina	5
2002 Jaguar X-Type 2.5i V6 MT	6	2.5	manual	gasolina	4
2002 Mercedes-Benz Clase E E 55 AMG	8	5.4	automático	gasolina	4
2002 HONDA ODYSSEY EX	6	3.5	automático	gasolina	5
2002 HONDA CIVIC EX AT	4	1.7	automático	gasolina	4
2002 HONDA CIVIC EX AT	4	1.7	automático	gasolina	4
2002 Lincoln LS Sport	8	3.9	automático	gasolina premium	4
2002 Mercedes-Benz Clase CL CL 230 KOMPRESSOR EVOLUTION	4	2.3	automático	gasolina	3
2002 HONDA ODYSSEY EX	6	3.5	automático	gasolina	5
2002 Mercedes-Benz Clase M ML 500	8	5	automático	gasolina	5
2002 Mercury Sable LS,Tela	6	3	automático	gasolina	4
2002 Mercedes-Benz Clase M ML 500	8	5	automático	gasolina	5
2002 HONDA ACCORD EX	4	2.3	automático	gasolina	4
2002 Honda CR-V 	4	2.4	automático	gasolina	4
2002 HONDA ACCORD EX	4	2.3	automático	gasolina	4
2002 HONDA CIVIC (OLD) LX 2DR AT	4	1.7	automático	gasolina	2
2002 HONDA CIVIC EX 2DR AT	4	1.7	automático	gasolina	2
2002 Jaguar X-Type 2.5i V6 AT	6	2.5	automático	gasolina	4
2002 Mercedes-Benz Clase C (OLD) C 320 AVANTGARDE	6	3.2	automático	gasolina	4
2002 Jaguar X-Type 3.0i V6 SPORT AT	6	3	automático	gasolina	4
2002 HONDA CIVIC (OLD) LX 2DR MT	4	1.7	manual	gasolina	2
2002 Mercedes-Benz Clase E E 320 ELEGANCE	6	3.2	automático	gasolina	4
2002 Lincoln LS Base,Quemacocos	8	3.9	automático	gasolina premium	4
2002 Jaguar X-Type 2.5i V6 AT	6	2.5	automático	gasolina	4
2002 HONDA ACCORD EX-R	4	2.3	automático	gasolina	4
2002 Mercedes-Benz Clase S S 500L	8	5	automático	gasolina	4
2002 Mercedes-Benz Clase C (OLD) C 320 AVANTGARDE	6	3.2	automático	gasolina	4
2002 HONDA ACCORD EX	4	2.3	automático	gasolina	4
2002 HONDA ACCORD (OLD) EX V6	6	3	automático	gasolina	4
2002 HONDA CIVIC EX 2DR AT	4	1.7	automático	gasolina	2
2002 Mercedes-Benz Clase CL CL 200 KOMPRESSOR	4	2	automático	gasolina	3
2002 Mercury Sable LS Premium,Piel Quemaco	6	3	automático	gasolina	4
2002 HONDA CIVIC EX 2DR AT	4	1.7	automático	gasolina	2
2002 HONDA CIVIC EX 2DR AT	4	1.7	automático	gasolina	2
2002 Mercedes-Benz Clase C (OLD) C 240 ELEGANCE	6	2.6	automático	gasolina	4
2002 HONDA CIVIC EX 2DR AT	4	1.7	automático	gasolina	2
2002 Mercedes-Benz Clase E E 500 AVANTGARDE	8	5	automático	gasolina	4
2002 Mercedes-Benz Clase C (OLD) C 320 T ELEGANCE	6	3.2	automático	gasolina	5
2002 HONDA ACCORD EX	4	2.3	automático	gasolina	4
2002 Lincoln LS Base,Quemacocos	8	3.9	automático	gasolina premium	4
2002 Mercedes-Benz Clase C C 200 KOMPRESSOR AVANTGARDE	4	2	automático	gasolina	4
2002 HONDA ACCORD EX	4	2.3	automático	gasolina	4
HONDA Passport 2002	6		Automatica	Gasolina	
2002 Jaguar X-Type 2.5i V6 AT	6	2.5	automático	gasolina	4
2002 HONDA CIVIC EX 2DR AT	4	1.7	automático	gasolina	2
2002 Mercedes-Benz Clase M ML 320	6	3.2	automático	gasolina	5
