This is the collection of Ford vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
1996 Ford F-350 XLT	8	5	manual	gasolina	2
1996 Ford F-100 Ranger XL SWB	4	2.3	manual	gasolina	2
1996 Ford F-100 Ranger XLT LWB	4	2.3	manual	gasolina	2
1996 Ford Explorer XLT 4X4	6	4	automático	gasolina	5
1996 Ford Mustang HIGH AT	8	4.6	automático	gasolina	2
1996 Ford Windstar GL BASE	6	3.8	automático	gasolina	4
FORD Aerostar 1996			Automatica	Gasolina	
1996 Ford Grand Marquis BASE	8	4.6	automático	gasolina	4
1996 Ford Mustang BASE	8	4.6	manual	gasolina	2
1996 Ford Mustang BASE	8	4.6	manual	gasolina	2
1996 Ford Windstar GL BASE	6	3.8	automático	gasolina	4
1996 Ford F-100 Ranger CHASIS	4	2.3	manual	gasolina	2
1996 Ford Grand Marquis EQUIPADO	8	4.6	automático	gasolina	4
1997 Ford Explorer XLT V8 AWD PIEL PLUS	8	5	automático	gasolina	5
1997 Ford Escort DEPORTIVO	4	2	manual	gasolina	4
2001 Ford F-150 XL	6	4.2	manual	gasolina	2
2001 Ford Windstar LIMITED	6	3.8	automático	gasolina	5
FORD Sable 2001	6		Automatica	Gasolina	
2001 FORD EXPEDITION XLT TELA	8	4.6	automático	gasolina	5
1997 Ford Grand Marquis EQUIPADO	8	4.6	automático	gasolina	4
1997 Ford F-150 XLT AT	6	4.9	automático	gasolina	2
1997 Ford Econoline Van E150	6	4.2	automático	gasolina	5
1997 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
1997 Ford F-150 XL	6	4.9	manual	gasolina	2
1997 Ford Grand Marquis EQUIPADO	8	4.6	automático	gasolina	4
1997 Ford Expedition XLT	8	4.6	automático	gasolina	5
1997 Ford Expedition XLT	8	4.6	automático	gasolina	5
1997 Ford F-150 XL	6	4.9	manual	gasolina	2
1997 Ford F-150 XL	6	4.9	manual	gasolina	2
1997 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
1997 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
1997 Ford Grand Marquis EQUIPADO	8	4.6	automático	gasolina	4
1997 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
1997 Ford F-150 XL	6	4.9	manual	gasolina	2
1997 Ford F-150 XL	6	4.9	manual	gasolina	2
1997 Ford Explorer XL 4X2	6	4	automático	gasolina	5
1997 Ford Explorer XL 4X2	6	4	automático	gasolina	5
1997 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
1997 Ford Escort DEPORTIVO	4	2	manual	gasolina	4
1997 Ford F-250 LOBO	8	4.6	automático	gasolina	2
1997 Ford Grand Marquis BASE	8	4.6	automático	gasolina	4
1997 Ford Grand Marquis BASE	8	4.6	automático	gasolina	4
1997 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
1997 Ford F-100 Ranger CHASIS	4	2.3	manual	gasolina	2
1997 Ford F-150 XL	6	4.9	manual	gasolina	2
1997 Ford Windstar GL BASE	6	3.8	automático	gasolina	4
1997 Ford F-100 Ranger CHASIS	4	2.3	manual	gasolina	2
1997 Ford Explorer XL 4X2	6	4	automático	gasolina	5
1998 Ford F-150 XL AT	6	4.2	automático	gasolina	2
1998 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
1998 Ford F-150 XL AT	6	4.2	automático	gasolina	2
1998 Ford Expedition XLT 5.4 PIEL	8	5.4	automático	gasolina	5
1998 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
1998 Ford Explorer XLT V8 4X2 PIEL	8	5	automático	gasolina	5
1998 Ford Escort ZX2 TIPICO	4	2	manual	gasolina	2
1998 Ford Contour BASE V6	6	2.5	automático	gasolina	4
1998 Ford F-150 XL AT	6	4.2	automático	gasolina	2
FORD Escort ZX2 1998	4		Automatica	Gasolina	
1998 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
1998 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
FORD Sable 1998	6		Secuencial	Gasolina	
1998 Ford Grand Marquis BASE	8	4.6	automático	gasolina	4
1998 Ford F-150 AUSTERA	6	4.2	manual	gasolina	2
1998 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
1998 Ford Grand Marquis BASE	8	4.6	automático	gasolina	4
1998 Ford Club Wagon XL 15PAS	8	5.4	automático	gasolina	6
1998 Ford Grand Marquis EQUIPADO	8	4.6	automático	gasolina	4
1998 Ford Explorer XLT V6 4X2	6	4	automático	gasolina	5
1998 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
FORD Mystique 1998	6		Automatica	Gasolina	
1998 Ford Expedition EDDIE BAUER	8	5.4	automático	gasolina	5
FORD Taurus 1998	6		Automatica	Gasolina	
1998 Ford F-150 XL AT	6	4.2	automático	gasolina	2
1998 Ford Escort ZX2 TIPICO AT	4	2	automático	gasolina	2
