This is the collection of GM vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
2016 Chevrolet Silverado 1500 LS Cab Reg F	6	4.3	automático	gasolina	2
2015 Chevrolet Corvette 6.2 G Z06 Coupe MT	8	6.2	manual	gasolina premium	2
2008 Hummer H3 SUV B Adventure	5	3.7	automático	gasolina premium	5
2007 Cadillac Escalade ESV AWD B	8	6.2	automático	gasolina premium	5
2005 Chevrolet Malibu 4 ptas F	6	3.5	automático	gasolina premium	4
2013 Chevrolet Aveo B LT Manual, radio, Bluetooth	4	1.6	manual	gasolina	4
2013 Chevrolet Aveo M LS Manual, aire acondicionado	4	1.6	manual	gasolina	4
2015 Cadillac ATS Coupé E	4	2.0	automático	gasolina premium	2
2016 Chevrolet Colorado WT Doble Cabina C 4x4	6	3.6	automático	gasolina	4
2013 Chevrolet Traverse LT Tela C	6	3.6	automático	gasolina premium	5
2007 Pontiac Solstice GT Piel G	4	2.4	manual	gasolina premium	2
2010 Cadillac SRX 1SC PREMIUM	6	3.0	automático	gasolina premium	5
2016 Chevrolet Aveo LS Paq. J 4 ptas.	4	1.6	automático	gasolina	4
2015 Chevrolet Aveo A LS Manual	4	1.6	manual	gasolina	4
2016 Chevrolet Aveo LT B MT	4	1.6	manual	gasolina	4
2018 BMW X4 xDrive 28iA X Line	4	2.0	automático	gasolina premium	5
2018 BMW Serie 4 Coupé 440iA M Sport	6	3.0	automático	gasolina premium	2
2018 BMW Serie 5 Sedán 530iA Sport Line	6	3.0	automático	gasolina premium	4
2018 BMW Serie 2 Coupé 220iA Sport Line	4	2.0	automático	gasolina premium	2
2014 Chevrolet Trax B LT	4	1.8	automático	gasolina	5
2008 GMC Sierra Denali AWD C	8	6.2	automático	gasolina premium	4
2012 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2011 GMC Acadia Piel C	6	3.6	automático	gasolina premium	5
2011 Chevrolet Aveo AT F	4	1.6	automático	gasolina	4
2017 Chevrolet Suburban LT C	8	5.3	automático	gasolina	5
2016 Chevrolet Aveo LT B MT	4	1.6	manual	gasolina	4
2015 Chevrolet Silverado 1500 1500 Cab Reg F	6	4.3	automático	gasolina	2
2016 Chevrolet Suburban D	8	6.0	automático	gasolina	5
2013 Chevrolet Captiva Sport LS Paq. B	4	2.4	automático	gasolina	5
2017 GMC Sierra All Terrain Crew Cab D 4X4	8	5.3	automático	gasolina	4
2014 GMC Sierra Denali AWD E	8	6.2	automático	gasolina premium	4
2010 Chevrolet Captiva Sport LT Paq. C	6	3.6	automático	gasolina premium	5
2014 Chevrolet Aveo E LTZ Aut. Bolsas de aire, ABS	4	1.6	automático	gasolina	4
2013 Chevrolet Tahoe D LT	8	5.3	automático	gasolina	5
2010 Hummer H3 SUV D Alpha	8	5.3	automático	gasolina premium	5
2018 Chevrolet Aveo LT D AT	4	1.5	automático	gasolina	4
2016 Chevrolet Silverado 2500 LS Cab Extendida A	8	5.3	automático	gasolina	4
2009 Chevrolet Colorado Doble Cabina C	5	3.7	automático	gasolina premium	4
2007 GMC Yukon C Denali AWD	8	6.2	automático	gasolina premium	5
2015 Chevrolet Silverado 1500 1500 Cab Reg G	6	4.3	automático	gasolina	2
2013 Cadillac CTS Coupe C	6	3.6	automático	gasolina premium	2
2017 Chevrolet Equinox Premier F	4	2.4	automático	gasolina	5
2012 GMC Yukon C Denali AWD	8	6.2	automático	gasolina premium	5
2016 Buick Encore CXL L	4	1.4	automático	gasolina	5
2016 Chevrolet Cheyenne LTZ Crew Cab G	8	6.2	automático	gasolina	4
2012 Buick Enclave CXL AWD D	6	3.6	automático	gasolina premium	5
2014 Chevrolet Express Cargo Van C	6	4.3	automático	gasolina premium	5
2013 Chevrolet Trax C LTZ	4	1.8	automático	gasolina	5
2013 Chevrolet Traverse LT Tela C	6	3.6	automático	gasolina premium	5
2001 CHEVROLET CHEVY SWING C	4	1.6	manual	gasolina	5
2016 Chevrolet Aveo LT B MT	4	1.6	manual	gasolina	4
2009 Cadillac CTS Premium B	6	3.6	automático	gasolina premium	4
2013 GMC Yukon C Denali Quemacocos	8	6.2	automático	gasolina premium	5
2005 Chevrolet Sonora E	8	5.3	automático	gasolina premium	5
2008 GMC Acadia C Piel AWD	6	3.6	automático	gasolina premium	5
2013 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2013 GMC Terrain Denali E	6	3.0	automático	gasolina premium	5
2016 Chevrolet Equinox LS D	4	2.4	automático	gasolina	5
2016 Chevrolet Aveo LT B MT	4	1.6	manual	gasolina	4
2014 Chevrolet Aveo E LTZ Aut. Bolsas de aire, ABS	4	1.6	automático	gasolina	4
2007 GMC Acadia C Piel AWD	6	3.6	automático	gasolina premium	5
2016 Chevrolet Aveo LT B MT	4	1.6	manual	gasolina	4
2016 GMC Sierra SLE Regular F 4x4	8	5.3	automático	gasolina	2
2013 Chevrolet Aveo D LTZ Manual, bolsas de aire, ABS	4	1.6	manual	gasolina	4
2010 Chevrolet Suburban 5.3L A TELA	8	5.3	automático	gasolina premium	5
2016 Chevrolet Trax B LT	4	1.8	automático	gasolina	5
2013 Buick Regal 2.0 C Premium Turbo	4	2.0	automático	gasolina premium	4
2013 Chevrolet Captiva Sport LT Paq. D Edición Especial	6	3.0	automático	gasolina	5
2007 Chevrolet Colorado Doble Cabina 4X4 B	5	3.7	automático	gasolina premium	4
2011 Buick Enclave CXL AWD D	6	3.6	automático	gasolina premium	5
2010 BUICK Enclave CXL AWD C	6	3.6	automático	gasolina premium	5
2014 Chevrolet Captiva Sport LT Paq. D	6	3.0	automático	gasolina	5
2010 Chevrolet Tahoe C Piel DVD	8	5.3	automático	gasolina premium	5
